entidad,distrito,primer_lugar,segundo_lugar,tercer_lugar,votos_1ro,votos_2do,votos_3ro
,6,SHH,MC,FCM,58964.0,57447.0,53585.0
,6,SHH,FCM,MC,119804.0,72625.0,33999.0
,6,SHH,FCM,MC,95388.0,71229.0,28069.0
,6,FCM,MC,SHH,113032.0,49864.0,49291.0
,6,SHH,FCM,MC,128549.0,17511.0,6495.0
,6,SHH,FCM,MC,122070.0,53654.0,15426.0
,6,SHH,FCM,MC,87017.0,71203.0,11926.0
,6,SHH,FCM,MC,119997.0,53600.0,22097.0
,6,SHH,FCM,MC,113291.0,56908.0,13291.0
,6,SHH,FCM,MC,113574.0,33730.0,20330.0
,6,SHH,MC,FCM,135711.0,17264.0,15136.0
,6,SHH,FCM,MC,139279.0,65657.0,12853.0
,6,SHH,FCM,MC,115718.0,47351.0,17562.0
,6,SHH,FCM,MC,93487.0,69864.0,11881.0
,7,SHH,FCM,MC,99740.0,31600.0,13874.0
,7,SHH,FCM,MC,154359.0,18735.0,10132.0
,7,SHH,FCM,MC,80527.0,75222.0,21031.0
,7,SHH,FCM,MC,157556.0,97746.0,27695.0
,7,SHH,FCM,MC,98361.0,87796.0,11835.0
,7,FCM,SHH,MC,91948.0,51356.0,8116.0
,7,SHH,FCM,MC,108764.0,40997.0,26137.0
,7,SHH,FCM,MC,127057.0,45232.0,20411.0
,7,SHH,MC,FCM,73471.0,34561.0,32104.0
,7,SHH,FCM,MC,126703.0,89034.0,21277.0
,7,SHH,FCM,MC,108606.0,51085.0,30725.0
,7,SHH,MC,FCM,58493.0,39425.0,17662.0
,7,SHH,MC,FCM,128660.0,18747.0,16452.0
,7,SHH,FCM,MC,124745.0,33571.0,15546.0
,7,SHH,FCM,MC,143750.0,32837.0,13609.0
,7,SHH,FCM,MC,108408.0,51009.0,11122.0
,7,SHH,FCM,MC,106256.0,30846.0,14992.0
,7,SHH,FCM,MC,97505.0,31670.0,15181.0
,7,SHH,FCM,MC,119603.0,46225.0,12481.0
,8,SHH,FCM,MC,122830.0,23821.0,14880.0
,8,SHH,FCM,MC,142400.0,19354.0,7904.0
,8,FCM,SHH,MC,99505.0,93661.0,13965.0
,8,SHH,FCM,MC,130434.0,115586.0,22734.0
,8,SHH,FCM,MC,88925.0,73475.0,5158.0
,8,SHH,FCM,MC,105794.0,71464.0,15251.0
,8,SHH,FCM,MC,140796.0,54545.0,15174.0
,8,FCM,MC,SHH,102816.0,80366.0,78202.0
,8,SHH,FCM,MC,134775.0,58888.0,23718.0
,8,SHH,FCM,MC,91408.0,65092.0,19435.0
,8,SHH,FCM,MC,78214.0,59650.0,43620.0
,8,SHH,FCM,MC,129515.0,51825.0,30234.0
,8,SHH,FCM,MC,117264.0,32941.0,23985.0
,8,FCM,SHH,MC,125627.0,123321.0,11335.0
,8,SHH,FCM,MC,123993.0,43898.0,20248.0
,9,SHH,FCM,MC,108033.0,23014.0,15959.0
,9,SHH,FCM,MC,92163.0,41311.0,21726.0
,9,FCM,SHH,MC,73600.0,72061.0,21937.0
,9,SHH,FCM,MC,115060.0,56940.0,29083.0
,9,FCM,SHH,MC,76025.0,72208.0,15018.0
,9,SHH,MC,FCM,92362.0,59272.0,54225.0
,9,SHH,FCM,MC,116605.0,71160.0,9968.0
,9,SHH,FCM,MC,60268.0,37434.0,9643.0
,9,FCM,SHH,MC,80186.0,56849.0,43605.0
,9,SHH,FCM,MC,121546.0,37222.0,5729.0
,9,SHH,FCM,MC,130092.0,81775.0,18138.0
,9,SHH,FCM,MC,115089.0,57296.0,14809.0
,10,SHH,FCM,MC,134418.0,25058.0,12546.0
,10,FCM,SHH,MC,124482.0,94188.0,18111.0
,10,SHH,FCM,MC,110291.0,64216.0,24679.0
,10,FCM,MC,SHH,101028.0,76567.0,57087.0
,10,SHH,FCM,MC,101779.0,50415.0,28468.0
,10,FCM,SHH,MC,100730.0,77735.0,17777.0
,10,FCM,MC,SHH,101241.0,53200.0,44465.0
,10,SHH,FCM,MC,133519.0,23156.0,11210.0
,10,SHH,FCM,MC,102980.0,83696.0,23846.0
,10,SHH,FCM,MC,112617.0,112111.0,21744.0
,11,SHH,FCM,MC,148585.0,14193.0,5824.0
,11,SHH,FCM,MC,148362.0,101969.0,25610.0
,11,FCM,SHH,MC,104495.0,73108.0,15134.0
,11,SHH,MC,FCM,96383.0,69055.0,63843.0
,11,SHH,FCM,MC,120481.0,44538.0,20382.0
,11,SHH,FCM,MC,102230.0,57205.0,20861.0
,11,FCM,SHH,MC,80428.0,79834.0,56871.0
,11,SHH,FCM,MC,110372.0,70174.0,16390.0
,11,SHH,FCM,MC,142298.0,26937.0,21767.0
,12,SHH,FCM,MC,125889.0,26506.0,15352.0
,12,FCM,SHH,MC,116020.0,114568.0,23148.0
,12,SHH,FCM,MC,98078.0,79463.0,20169.0
,12,SHH,FCM,MC,63139.0,57685.0,56231.0
,12,SHH,FCM,MC,98975.0,46331.0,22138.0
,12,SHH,MC,FCM,57263.0,49264.0,33580.0
,12,SHH,FCM,MC,110815.0,77161.0,15390.0
,12,SHH,FCM,MC,99494.0,59669.0,13532.0
,13,SHH,FCM,MC,130673.0,30998.0,9781.0
,13,SHH,FCM,MC,133103.0,90932.0,24607.0
,13,SHH,FCM,MC,92005.0,76376.0,10683.0
,13,SHH,MC,FCM,81307.0,53205.0,44100.0
,13,SHH,FCM,MC,137707.0,69811.0,24155.0
,13,SHH,MC,FCM,50912.0,46332.0,28936.0
,13,SHH,FCM,MC,113902.0,46644.0,15104.0
,13,SHH,FCM,MC,98970.0,59443.0,10615.0
,14,SHH,FCM,MC,129147.0,119552.0,8437.0
,14,SHH,FCM,MC,81979.0,69764.0,10618.0
,14,SHH,MC,FCM,60233.0,37054.0,14828.0
,14,SHH,FCM,MC,104987.0,54636.0,16659.0
,14,SHH,FCM,MC,58988.0,48906.0,33926.0
,14,SHH,FCM,MC,135658.0,46318.0,8786.0
,14,SHH,FCM,MC,128545.0,23814.0,16895.0
,15,FCM,SHH,MC,193943.0,76004.0,20012.0
,15,SHH,FCM,MC,80109.0,65271.0,12938.0
,15,FCM,SHH,MC,81089.0,57317.0,44907.0
,15,SHH,FCM,MC,110767.0,100620.0,18028.0
,15,SHH,FCM,MC,124702.0,41002.0,15776.0
,15,SHH,FCM,MC,100852.0,55384.0,20737.0
,16,SHH,FCM,MC,118855.0,80415.0,19982.0
,16,SHH,MC,FCM,83907.0,50198.0,38594.0
,16,SHH,FCM,MC,124228.0,49287.0,16820.0
,16,SHH,FCM,MC,129223.0,54210.0,15459.0
,16,SHH,FCM,MC,128036.0,53063.0,21769.0
,17,SHH,FCM,MC,120136.0,106444.0,21571.0
,17,SHH,MC,FCM,88530.0,44576.0,42694.0
,17,SHH,FCM,MC,96429.0,55536.0,18573.0
,17,SHH,FCM,MC,119211.0,50415.0,14122.0
,18,SHH,FCM,MC,151288.0,76826.0,22259.0
,18,SHH,MC,FCM,84344.0,62329.0,55935.0
,18,SHH,FCM,MC,114384.0,106844.0,21688.0
,18,SHH,FCM,MC,104113.0,50122.0,13552.0
,19,FCM,SHH,MC,119601.0,103209.0,19891.0
,19,SHH,MC,FCM,96343.0,61572.0,42914.0
,19,SHH,FCM,MC,133858.0,127515.0,23492.0
,19,SHH,FCM,MC,107817.0,39418.0,18551.0
,20,SHH,FCM,MC,174337.0,65560.0,19946.0
,20,SHH,MC,FCM,65643.0,39262.0,24218.0
,20,SHH,FCM,MC,93646.0,48114.0,16462.0
,21,SHH,FCM,MC,122433.0,65806.0,30862.0
,21,SHH,FCM,MC,123803.0,43084.0,29767.0
,22,SHH,FCM,MC,140824.0,27995.0,12747.0
,22,FCM,SHH,MC,129564.0,94624.0,18165.0
,23,SHH,FCM,MC,123688.0,63566.0,20248.0
,24,SHH,FCM,MC,148411.0,73946.0,23641.0
,25,SHH,FCM,MC,99658.0,45039.0,12215.0
,26,SHH,FCM,MC,117472.0,72271.0,22369.0
,27,SHH,FCM,MC,121709.0,108783.0,24591.0
,28,SHH,FCM,MC,91417.0,42124.0,22310.0
,29,SHH,FCM,MC,134184.0,52828.0,29077.0
,30,SHH,FCM,MC,94201.0,45751.0,13721.0
,31,SHH,FCM,MC,137215.0,50660.0,28971.0
,32,SHH,FCM,MC,108312.0,34584.0,15534.0
,33,SHH,FCM,MC,117194.0,28265.0,12314.0
,34,SHH,FCM,MC,121818.0,107464.0,28493.0
,35,SHH,FCM,MC,119718.0,54117.0,34695.0
,36,SHH,FCM,MC,123285.0,62976.0,19038.0
,37,SHH,FCM,MC,127144.0,52225.0,25017.0
,38,SHH,FCM,MC,110093.0,46458.0,19086.0
,39,SHH,FCM,MC,99956.0,53088.0,12306.0
,40,SHH,FCM,MC,119809.0,79419.0,28927.0
