ENTIDAD,DISTRITO,WINNER_SIGLADO
YUCATÁN,6,MORENA
BAJA CALIFORNIA,7,MORENA
CHIAPAS,7,MORENA
CHIHUAHUA,7,MORENA
CIUDAD DE MÉXICO,7,MORENA
COAHUILA,7,MORENA
GUANAJUATO,7,PAN
GUERRERO,7,MORENA
HIDALGO,7,MORENA
JALISCO,7,MORENA
MÉXICO,7,MORENA
MICHOACÁN,7,MORENA
NUEVO LEÓN,7,MC
OAXACA,7,MORENA
PUEBLA,7,MORENA
SAN LUIS POTOSÍ,7,PVEM
SINALOA,7,MORENA
SONORA,7,MORENA
TAMAULIPAS,7,MORENA
VERACRUZ,7,MORENA
BAJA CALIFORNIA,8,MORENA
CHIAPAS,8,MORENA
CHIHUAHUA,8,PAN
CIUDAD DE MÉXICO,8,MORENA
COAHUILA,8,MORENA
GUANAJUATO,8,MORENA
GUERRERO,8,MORENA
JALISCO,8,MC
MÉXICO,8,MORENA
MICHOACÁN,8,MORENA
NUEVO LEÓN,8,MORENA
OAXACA,8,MORENA
PUEBLA,8,MORENA
TAMAULIPAS,8,PAN
VERACRUZ,8,MORENA
BAJA CALIFORNIA,9,MORENA
CHIAPAS,9,MORENA
CHIHUAHUA,9,MORENA
CIUDAD DE MÉXICO,9,MORENA
GUANAJUATO,9,PAN
JALISCO,9,MORENA
MÉXICO,9,MORENA
MICHOACÁN,9,MORENA
NUEVO LEÓN,9,PRI
OAXACA,9,MORENA
PUEBLA,9,MORENA
VERACRUZ,9,MORENA
CHIAPAS,10,MORENA
CIUDAD DE MÉXICO,10,PAN
GUANAJUATO,10,MORENA
JALISCO,10,PAN
MÉXICO,10,MORENA
MICHOACÁN,10,PAN
NUEVO LEÓN,10,PAN
OAXACA,10,MORENA
PUEBLA,10,MORENA
VERACRUZ,10,MORENA
CHIAPAS,11,MORENA
CIUDAD DE MÉXICO,11,MORENA
GUANAJUATO,11,PAN
JALISCO,11,MORENA
MÉXICO,11,MORENA
MICHOACÁN,11,MORENA
NUEVO LEÓN,11,MORENA
PUEBLA,11,MORENA
VERACRUZ,11,MORENA
CHIAPAS,12,MORENA
CIUDAD DE MÉXICO,12,MORENA
GUANAJUATO,12,MORENA
JALISCO,12,MC
MÉXICO,12,MORENA
NUEVO LEÓN,12,MC
PUEBLA,12,MORENA
VERACRUZ,12,MORENA
CHIAPAS,13,MORENA
CIUDAD DE MÉXICO,13,MORENA
GUANAJUATO,13,MORENA
JALISCO,13,MORENA
MÉXICO,13,MORENA
NUEVO LEÓN,13,MC
PUEBLA,13,MORENA
VERACRUZ,13,MORENA
CIUDAD DE MÉXICO,14,MORENA
GUANAJUATO,14,MORENA
JALISCO,14,MORENA
MÉXICO,14,MORENA
NUEVO LEÓN,14,MORENA
PUEBLA,14,MORENA
VERACRUZ,14,MORENA
CIUDAD DE MÉXICO,15,PAN
GUANAJUATO,15,MORENA
JALISCO,15,PAN
MÉXICO,15,MORENA
PUEBLA,15,MORENA
VERACRUZ,15,MORENA
CIUDAD DE MÉXICO,16,MORENA
JALISCO,16,MORENA
MÉXICO,16,MORENA
PUEBLA,16,MORENA
VERACRUZ,16,MORENA
CIUDAD DE MÉXICO,17,MORENA
JALISCO,17,MORENA
MÉXICO,17,MORENA
VERACRUZ,17,MORENA
CIUDAD DE MÉXICO,18,MORENA
JALISCO,18,MORENA
MÉXICO,18,MORENA
VERACRUZ,18,MORENA
CIUDAD DE MÉXICO,19,PAN
JALISCO,19,MORENA
MÉXICO,19,MORENA
VERACRUZ,19,MORENA
CIUDAD DE MÉXICO,20,MORENA
JALISCO,20,MORENA
MÉXICO,20,MORENA
CIUDAD DE MÉXICO,21,MORENA
MÉXICO,21,MORENA
CIUDAD DE MÉXICO,22,MORENA
MÉXICO,22,PAN
MÉXICO,23,MORENA
MÉXICO,24,MORENA
MÉXICO,25,MORENA
MÉXICO,26,MORENA
MÉXICO,27,MORENA
MÉXICO,28,MORENA
MÉXICO,29,MORENA
MÉXICO,30,MORENA
MÉXICO,31,MORENA
MÉXICO,32,MORENA
MÉXICO,33,MORENA
MÉXICO,34,MORENA
MÉXICO,35,MORENA
MÉXICO,36,MORENA
MÉXICO,37,MORENA
MÉXICO,38,MORENA
MÉXICO,39,MORENA
MÉXICO,40,MORENA
