ENTIDAD,DISTRITO,DIST_CH,winner_compound,winner_siglado,SIGLADO_PRESENT,TOTAL_VOTOS,same
GUERRERO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,175898,False
GUERRERO,8,8,MORENA,SIGAMOS HACIENDO HISTORIA,True,210515,False
HIDALGO,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,218963,False
HIDALGO,2,2,MORENA,SIGAMOS HACIENDO HISTORIA,True,220568,False
HIDALGO,3,3,MORENA,FUERZA Y CORAZON POR MEXICO,True,202796,False
HIDALGO,4,4,MORENA,FUERZA Y CORAZON POR MEXICO,True,178217,False
HIDALGO,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,228306,False
HIDALGO,6,6,MORENA,FUERZA Y CORAZON POR MEXICO,True,216352,False
HIDALGO,7,7,MORENA,FUERZA Y CORAZON POR MEXICO,True,192700,False
JALISCO,1,1,MORENA,SIGAMOS HACIENDO HISTORIA,True,201293,False
JALISCO,2,2,MC,SIGAMOS HACIENDO HISTORIA,True,174420,False
JALISCO,3,3,PAN,FUERZA Y CORAZON POR MEXICO,True,189508,False
JALISCO,4,4,MC,SIGAMOS HACIENDO HISTORIA,True,199074,False
JALISCO,5,5,MORENA,FUERZA Y CORAZON POR MEXICO,True,178480,False
JALISCO,6,6,MC,SIGAMOS HACIENDO HISTORIA,True,169996,False
JALISCO,7,7,MORENA,SIGAMOS HACIENDO HISTORIA,True,140136,False
JALISCO,8,8,MC,SIGAMOS HACIENDO HISTORIA,True,261384,False
JALISCO,9,9,MORENA,SIGAMOS HACIENDO HISTORIA,True,205859,False
JALISCO,10,10,PAN,SIGAMOS HACIENDO HISTORIA,True,234682,False
JALISCO,11,11,MORENA,SIGAMOS HACIENDO HISTORIA,True,229281,False
JALISCO,12,12,MC,SIGAMOS HACIENDO HISTORIA,True,177055,False
JALISCO,13,13,MORENA,SIGAMOS HACIENDO HISTORIA,True,178612,False
JALISCO,14,14,MORENA,SIGAMOS HACIENDO HISTORIA,True,112115,False
JALISCO,15,15,PAN,SIGAMOS HACIENDO HISTORIA,True,183313,False
JALISCO,16,16,MORENA,SIGAMOS HACIENDO HISTORIA,True,172699,False
JALISCO,17,17,MORENA,SIGAMOS HACIENDO HISTORIA,True,175800,False
JALISCO,18,18,MORENA,SIGAMOS HACIENDO HISTORIA,True,202608,False
JALISCO,19,19,MORENA,SIGAMOS HACIENDO HISTORIA,True,200829,False
JALISCO,20,20,MORENA,SIGAMOS HACIENDO HISTORIA,True,129123,False
MICHOACÁN,1,1,MORENA,FUERZA Y CORAZON POR MEXICO,True,156394,False
MICHOACÁN,2,2,MORENA,FUERZA Y CORAZON POR MEXICO,True,143764,False
MICHOACÁN,3,3,MORENA,SIGAMOS HACIENDO HISTORIA,True,193639,False
