ENTIDAD,DISTRITO,assigned_party,reason
SINALOA,4,PRD,siglado_ppn_mismatch_fallback_votes
SONORA,4,PRD,siglado_ppn_mismatch_fallback_votes
TABASCO,4,PRI,siglado_ppn
TAMAULIPAS,4,PRD,siglado_ppn_mismatch_fallback_votes
ZACATECAS,4,PRI,siglado_ppn_mismatch_fallback_votes
BAJA CALIFORNIA,5,PAN,siglado_ppn
CHIAPAS,5,MORENA,siglado_ppn
CIUDAD DE MEXICO,5,MORENA,siglado_ppn
GUERRERO,5,PRD,siglado_ppn_mismatch_fallback_votes
HIDALGO,5,PAN,siglado_ppn
JALISCO,5,PRI,siglado_ppn
MEXICO,5,PAN,siglado_ppn_mismatch_fallback_votes
MICHOACAN,5,MORENA,siglado_ppn
MORELOS,5,MORENA,siglado_ppn
NUEVO LEON,5,PRI,siglado_ppn_mismatch_fallback_votes
OAXACA,5,PAN,siglado_ppn
PUEBLA,5,MORENA,siglado_ppn
SINALOA,5,MORENA,siglado_ppn
SONORA,5,MORENA,siglado_ppn
TABASCO,5,PRD,siglado_ppn
TAMAULIPAS,5,PRI,siglado_ppn_mismatch_fallback_votes
VERACRUZ,5,MORENA,siglado_ppn
YUCATAN,5,PRI,siglado_ppn_mismatch_fallback_votes
BAJA CALIFORNIA,6,PRI,siglado_ppn
CHIAPAS,6,MORENA,siglado_ppn
CIUDAD DE MEXICO,6,MORENA,siglado_ppn
COAHUILA,6,MORENA,siglado_ppn
GUERRERO,6,PRI,siglado_ppn_mismatch_fallback_votes
HIDALGO,6,PRI,siglado_ppn
JALISCO,6,MORENA,siglado_ppn
MEXICO,6,MORENA,siglado_ppn
MICHOACAN,6,PRI,siglado_ppn_mismatch_fallback_votes
OAXACA,6,PRI,siglado_ppn_mismatch_fallback_votes
PUEBLA,6,MORENA,siglado_ppn
QUERETARO,6,MORENA,siglado_ppn
SAN LUIS POTOSI,6,PRI,siglado_ppn_mismatch_fallback_votes
SINALOA,6,PRI,siglado_ppn
SONORA,6,PAN,siglado_ppn_mismatch_fallback_votes
TABASCO,6,PRI,siglado_ppn
TAMAULIPAS,6,MORENA,siglado_ppn
VERACRUZ,6,MORENA,siglado_ppn
YUCATAN,6,MORENA,siglado_ppn
BAJA CALIFORNIA,7,PRI,siglado_ppn
CHIAPAS,7,PRI,siglado_ppn
CHIHUAHUA,7,PAN,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,7,MORENA,siglado_ppn
COAHUILA,7,MORENA,siglado_ppn
GUERRERO,7,MORENA,siglado_ppn
HIDALGO,7,PRI,siglado_ppn
JALISCO,7,MORENA,siglado_ppn
MEXICO,7,MORENA,siglado_ppn
MICHOACAN,7,MORENA,siglado_ppn
NUEVO LEON,7,PRD,siglado_ppn_mismatch_fallback_votes
OAXACA,7,PRI,siglado_ppn_mismatch_fallback_votes
PUEBLA,7,MORENA,siglado_ppn
SAN LUIS POTOSI,7,MORENA,siglado_ppn
SINALOA,7,MORENA,siglado_ppn
SONORA,7,MORENA,siglado_ppn
TAMAULIPAS,7,MORENA,siglado_ppn
VERACRUZ,7,MORENA,siglado_ppn
BAJA CALIFORNIA,8,PAN,siglado_ppn_mismatch_fallback_votes
CHIAPAS,8,PRI,siglado_ppn_mismatch_fallback_votes
CIUDAD DE MEXICO,8,PAN,siglado_ppn_mismatch_fallback_votes
COAHUILA,8,PRD,siglado_ppn_mismatch_fallback_votes
GUANAJUATO,8,MORENA,siglado_ppn
GUERRERO,8,PRI,siglado_ppn_mismatch_fallback_votes
MEXICO,8,MORENA,siglado_ppn
