ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores,siglado_ppn,mr_por_convenio,mr_por_afiliacion,winner_by_votes_valid,winner_by_votes_raw
JALISCO,13,MORENA,votes_valid,,PT,,,MORENA,MORENA
JALISCO,14,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
JALISCO,15,PAN,votes_valid,,MORENA,,,PAN,PAN
JALISCO,16,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,17,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
JALISCO,18,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,19,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
JALISCO,20,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,1,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,2,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,5,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,8,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,10,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,11,MORENA,votes_valid,,PRD,,,MORENA,MORENA
MEXICO,12,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,13,MORENA,votes_valid,,PAN,,,MORENA,MORENA
MEXICO,14,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,15,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,16,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,17,MORENA,votes_valid,,PRI,,,MORENA,MORENA
MEXICO,18,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,19,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,20,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,21,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,22,PAN,votes_valid,,MORENA,,,PAN,PAN
MEXICO,23,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,24,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,25,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,26,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,27,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,28,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,29,MORENA,votes_valid,,PRD,,,MORENA,MORENA
MEXICO,30,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,31,MORENA,votes_valid,,PRD,,,MORENA,MORENA
MEXICO,32,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,33,MORENA,votes_valid,,PRI,,,MORENA,MORENA
MEXICO,34,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,35,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,36,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,37,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MEXICO,38,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MEXICO,39,MORENA,votes_valid,,PT,,,MORENA,MORENA
MEXICO,40,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MICHOACAN,1,MORENA,votes_valid,,PRI,,,MORENA,MORENA
MICHOACAN,2,MORENA,votes_valid,,PRD,,,MORENA,MORENA
MICHOACAN,3,MORENA,votes_valid,,PT,,,MORENA,MORENA
MICHOACAN,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MICHOACAN,5,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MICHOACAN,6,MORENA,votes_valid,,PT,,,MORENA,MORENA
MICHOACAN,7,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MICHOACAN,8,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MICHOACAN,9,MORENA,votes_valid,,PVEM,,,MORENA,MORENA
MICHOACAN,10,PAN,votes_valid,,MORENA,,,PAN,PAN
MICHOACAN,11,MORENA,votes_valid,,PT,,,MORENA,MORENA
MORELOS,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
MORELOS,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA
