ENTIDAD,ENT_KEY,DISTRITO,DIST_CH,N_PARTY_COLS,PARTY_COLS,TOTAL_VOTOS,N_WINNERS,WINNERS,SIGLADO_DOMINANTE,SIGLADO_PRESENT
CIUDAD DE MÉXICO,CIUDAD DE MXICO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,282997,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,268754,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,201083,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,236781,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,275941,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,12,012,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,253736,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,13,013,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,248642,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,14,014,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,257136,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,15,015,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,289959,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,16,016,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,219252,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,17,017,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,248151,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,18,018,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,250373,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,19,019,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,242701,1,PAN,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,20,020,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,259843,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,21,021,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,219101,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
CIUDAD DE MÉXICO,CIUDAD DE MXICO,22,022,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,181566,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,189655,1,PRI,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,193328,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,211703,1,PRI,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,211215,1,PRI,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,189909,1,PRI,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,180109,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,197992,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COAHUILA,COAHUILA,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,167558,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COLIMA,COLIMA,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,181287,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
COLIMA,COLIMA,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,146286,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
DURANGO,DURANGO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,172299,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
DURANGO,DURANGO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,188747,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
DURANGO,DURANGO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,189664,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
DURANGO,DURANGO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,198347,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,1,001,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,162208,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,2,002,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,176197,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,3,003,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,212985,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,4,004,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,162235,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,5,005,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,170263,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,6,006,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,169642,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,7,007,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,151420,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,8,008,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,192509,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,9,009,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,163251,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,10,010,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,199186,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,11,011,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,192737,1,PAN,SIGAMOS HACIENDO HISTORIA,True
GUANAJUATO,GUANAJUATO,12,012,7,MC|MORENA|PAN|PRD|PRI|PT|PVEM,197710,1,MORENA,SIGAMOS HACIENDO HISTORIA,True
