ENTIDAD,DISTRITO,assigned_party,reason,postuladores,siglado_ppn,winner_by_votes_valid,winner_by_votes_raw
NUEVO LEON,6,PAN,winner_valid,,PT,PAN,PAN
NUEVO LEON,7,MC,winner_valid,,PVEM,MC,MC
NUEVO LEON,8,MORENA,afiliacion,,MORENA,MORENA,MORENA
NUEVO LEON,9,PRI,winner_valid,,PT,PRI,PRI
NUEVO LEON,10,PAN,winner_valid,,MORENA,PAN,PAN
NUEVO LEON,11,MORENA,afiliacion,,MORENA,MORENA,MORENA
NUEVO LEON,12,MC,winner_valid,,PVEM,MC,MC
NUEVO LEON,13,MC,winner_valid,,PVEM,MC,MC
NUEVO LEON,14,MORENA,winner_valid,,PT,MORENA,MORENA
OAXACA,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
OAXACA,2,MORENA,afiliacion,,MORENA,MORENA,MORENA
OAXACA,3,MORENA,winner_valid,,PT,MORENA,MORENA
OAXACA,4,MORENA,winner_valid,,PRI,MORENA,MORENA
OAXACA,5,MORENA,winner_valid,,PAN,MORENA,MORENA
OAXACA,6,MORENA,winner_valid,,PT,MORENA,MORENA
OAXACA,7,MORENA,winner_valid,,PVEM,MORENA,MORENA
OAXACA,8,MORENA,winner_valid,,PVEM,MORENA,MORENA
OAXACA,9,MORENA,winner_valid,,PVEM,MORENA,MORENA
OAXACA,10,MORENA,winner_valid,,PAN,MORENA,MORENA
PUEBLA,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
PUEBLA,3,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,4,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,5,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,7,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,8,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,9,MORENA,winner_valid,,PVEM,MORENA,MORENA
PUEBLA,10,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,11,MORENA,winner_valid,,PT,MORENA,MORENA
PUEBLA,12,MORENA,winner_valid,,PT,MORENA,MORENA
PUEBLA,13,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,14,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,15,MORENA,afiliacion,,MORENA,MORENA,MORENA
PUEBLA,16,MORENA,winner_valid,,PVEM,MORENA,MORENA
QUERETARO,1,MORENA,afiliacion,,MORENA,MORENA,MORENA
QUERETARO,2,MORENA,winner_valid,,PVEM,MORENA,MORENA
QUERETARO,3,PAN,afiliacion,,PAN,PAN,PAN
QUERETARO,4,PAN,afiliacion,,PAN,PAN,PAN
QUERETARO,5,PAN,winner_valid,,MORENA,PAN,PAN
QUERETARO,6,MORENA,afiliacion,,MORENA,MORENA,MORENA
QUINTANA ROO,1,MORENA,winner_valid,,PVEM,MORENA,MORENA
