ENTIDAD,DISTRITO,postuladores,winner_by_votes_raw,winner_by_votes_valid,siglado_ppn,mr_por_convenio,mr_por_afiliacion,PVEM_raw_gana_sin_nominar,incompleto_siglado
MEXICO,5,,MORENA,MORENA,PT,,,0,0
MEXICO,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,8,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,9,,MORENA,MORENA,PVEM,,,0,0
MEXICO,10,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,11,,MORENA,MORENA,PRD,,,0,0
MEXICO,12,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,13,,MORENA,MORENA,PAN,,,0,0
MEXICO,14,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,15,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,16,,MORENA,MORENA,PT,,,0,0
MEXICO,17,,MORENA,MORENA,PRI,,,0,0
MEXICO,18,,MORENA,MORENA,PVEM,,,0,0
MEXICO,19,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,20,,MORENA,MORENA,PVEM,,,0,0
MEXICO,21,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,22,,PAN,PAN,MORENA,,,0,0
MEXICO,23,,MORENA,MORENA,PVEM,,,0,0
MEXICO,24,,MORENA,MORENA,PVEM,,,0,0
MEXICO,25,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,26,,MORENA,MORENA,PVEM,,,0,0
MEXICO,27,,MORENA,MORENA,PT,,,0,0
MEXICO,28,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,29,,MORENA,MORENA,PRD,,,0,0
MEXICO,30,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,31,,MORENA,MORENA,PRD,,,0,0
MEXICO,32,,MORENA,MORENA,PT,,,0,0
MEXICO,33,,MORENA,MORENA,PRI,,,0,0
MEXICO,34,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,35,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,36,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,37,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MEXICO,38,,MORENA,MORENA,PVEM,,,0,0
MEXICO,39,,MORENA,MORENA,PT,,,0,0
MEXICO,40,,MORENA,MORENA,PVEM,,,0,0
MICHOACAN,1,,MORENA,MORENA,PRI,,,0,0
MICHOACAN,2,,MORENA,MORENA,PRD,,,0,0
MICHOACAN,3,,MORENA,MORENA,PT,,,0,0
MICHOACAN,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MICHOACAN,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MICHOACAN,6,,MORENA,MORENA,PT,,,0,0
MICHOACAN,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MICHOACAN,8,,MORENA,MORENA,PVEM,,,0,0
MICHOACAN,9,,MORENA,MORENA,PVEM,,,0,0
MICHOACAN,10,,PAN,PAN,MORENA,,,0,0
MICHOACAN,11,,MORENA,MORENA,PT,,,0,0
MORELOS,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MORELOS,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MORELOS,3,,MORENA,MORENA,PVEM,,,0,0
MORELOS,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
MORELOS,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NAYARIT,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NAYARIT,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NAYARIT,3,,MORENA,MORENA,PT,,,0,0
NUEVO LEON,1,,PAN,PAN,PVEM,,,0,0
NUEVO LEON,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NUEVO LEON,3,,MORENA,MORENA,PT,,,0,0
NUEVO LEON,4,,PAN,PAN,MORENA,,,0,0
NUEVO LEON,5,,MC,MC,PT,,,0,0
NUEVO LEON,6,,PAN,PAN,PT,,,0,0
NUEVO LEON,7,,MC,MC,PVEM,,,0,0
NUEVO LEON,8,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NUEVO LEON,9,,PRI,PRI,PT,,,0,0
NUEVO LEON,10,,PAN,PAN,MORENA,,,0,0
NUEVO LEON,11,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
NUEVO LEON,12,,MC,MC,PVEM,,,0,0
NUEVO LEON,13,,MC,MC,PVEM,,,0,0
NUEVO LEON,14,,MORENA,MORENA,PT,,,0,0
OAXACA,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
OAXACA,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
OAXACA,3,,MORENA,MORENA,PT,,,0,0
OAXACA,4,,MORENA,MORENA,PRI,,,0,0
OAXACA,5,,MORENA,MORENA,PAN,,,0,0
OAXACA,6,,MORENA,MORENA,PT,,,0,0
OAXACA,7,,MORENA,MORENA,PVEM,,,0,0
OAXACA,8,,MORENA,MORENA,PVEM,,,0,0
OAXACA,9,,MORENA,MORENA,PVEM,,,0,0
OAXACA,10,,MORENA,MORENA,PAN,,,0,0
PUEBLA,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,2,,MORENA,MORENA,PVEM,,,0,0
PUEBLA,3,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,8,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,9,,MORENA,MORENA,PVEM,,,0,0
PUEBLA,10,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,11,,MORENA,MORENA,PT,,,0,0
PUEBLA,12,,MORENA,MORENA,PT,,,0,0
PUEBLA,13,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,14,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,15,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
PUEBLA,16,,MORENA,MORENA,PVEM,,,0,0
QUERETARO,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
QUERETARO,2,,MORENA,MORENA,PVEM,,,0,0
QUERETARO,3,,PAN,PAN,PAN,PAN,PAN,0,0
QUERETARO,4,,PAN,PAN,PAN,PAN,PAN,0,0
QUERETARO,5,,PAN,PAN,MORENA,,,0,0
QUERETARO,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
QUINTANA ROO,1,,MORENA,MORENA,PVEM,,,0,0
QUINTANA ROO,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
QUINTANA ROO,3,,MORENA,MORENA,PRI,,,0,0
QUINTANA ROO,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SAN LUIS POTOSI,1,,PVEM,PVEM,MORENA,,,1,0
SAN LUIS POTOSI,2,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0
SAN LUIS POTOSI,3,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0
SAN LUIS POTOSI,4,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SAN LUIS POTOSI,5,,PAN,PAN,PVEM,,,0,0
SAN LUIS POTOSI,6,,PVEM,PVEM,PVEM,PVEM,PVEM,1,0
SAN LUIS POTOSI,7,,PVEM,PVEM,MORENA,,,1,0
SINALOA,1,,MORENA,MORENA,PVEM,,,0,0
SINALOA,2,,MORENA,MORENA,PAN,,,0,0
SINALOA,3,,MORENA,MORENA,PT,,,0,0
SINALOA,4,,MORENA,MORENA,PVEM,,,0,0
SINALOA,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SINALOA,6,,MORENA,MORENA,PRI,,,0,0
SINALOA,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SONORA,1,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SONORA,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SONORA,3,,MORENA,MORENA,PT,,,0,0
SONORA,4,,MORENA,MORENA,PT,,,0,0
SONORA,5,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
SONORA,6,,MORENA,MORENA,PVEM,,,0,0
SONORA,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
TABASCO,1,,MORENA,MORENA,PRD,,,0,0
TABASCO,2,,MORENA,MORENA,PRD,,,0,0
TABASCO,3,,MORENA,MORENA,PRD,,,0,0
TABASCO,4,,MORENA,MORENA,PRI,,,0,0
TABASCO,5,,MORENA,MORENA,PRD,,,0,0
TABASCO,6,,MORENA,MORENA,PRI,,,0,0
TAMAULIPAS,1,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,2,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
TAMAULIPAS,3,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,4,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,5,,MORENA,MORENA,PVEM,,,0,0
TAMAULIPAS,6,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
TAMAULIPAS,7,,MORENA,MORENA,MORENA,MORENA,MORENA,0,0
TAMAULIPAS,8,,PAN,PAN,PT,,,0,0
TLAXCALA,1,,MORENA,MORENA,PT,,,0,0
TLAXCALA,2,,MORENA,MORENA,PVEM,,,0,0
TLAXCALA,3,,MORENA,MORENA,PT,,,0,0
