ENTIDAD,DISTRITO,winner_col,partido_ganador,siglado_dom,siglado_coal,postuladores,coalition_tokens,votos_morena,votos_otros_en_coal
SINALOA,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],101560.0,{'MORENA': 101560.0}
SONORA,3,MORENA,MORENA,PAN,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],75285.0,{'MORENA': 75285.0}
TABASCO,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],109066.0,{'MORENA': 109066.0}
TAMAULIPAS,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],95250.0,{'MORENA': 95250.0}
TLAXCALA,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],104391.0,{'MORENA': 104391.0}
VERACRUZ,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],112599.0,{'MORENA': 112599.0}
YUCATAN,3,MORENA,MORENA,PRI,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],84290.0,{'MORENA': 84290.0}
ZACATECAS,3,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],60156.0,{'MORENA': 60156.0}
BAJA CALIFORNIA,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],105946.0,{'MORENA': 105946.0}
CHIAPAS,4,MORENA,MORENA,PRD,FUERZA Y CORAZON POR MEXICO,"['PRD', 'PAN', 'PRI']",['MORENA'],90622.0,{'MORENA': 90622.0}
