ENTIDAD,DISTRITO,assigned_party,assigned_source,postuladores_x,siglado_ppn_x,mr_por_convenio_x,mr_por_afiliacion,winner_by_votes_valid_x,winner_by_votes_raw_x,district_id,mr_raw_assigned_party,mr_raw_reasons,winner_by_votes_raw_y,winner_by_votes_valid_y,siglado_ppn_y,mr_por_convenio_y,postuladores_y
BAJA CALIFORNIA SUR,2,MORENA,votes_valid,,PT,,,MORENA,MORENA,BAJA CALIFORNIA SUR-2,PAN,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CAMPECHE,1,MC,votes_valid,,MORENA,,,MC,MC,CAMPECHE-1,MORENA,siglado_ppn,MC,MC,MORENA,,
CAMPECHE,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CAMPECHE-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,1,PVEM,votes_valid,,PT,,,PVEM,PVEM,CHIAPAS-1,PRD,siglado_ppn_mismatch_fallback_votes,PVEM,PVEM,PT,,
CHIAPAS,2,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIAPAS-2,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,3,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIAPAS-3,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,4,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIAPAS-4,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,5,PRI,votes_valid,,MORENA,,,PRI,PRI,CHIAPAS-5,MORENA,siglado_ppn,PRI,PRI,MORENA,,
CHIAPAS,6,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIAPAS-6,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,7,MORENA,votes_valid,,PRI,,,MORENA,MORENA,CHIAPAS-7,PRI,siglado_ppn,MORENA,MORENA,PRI,,
CHIAPAS,8,MORENA,votes_valid,,PT,,,MORENA,MORENA,CHIAPAS-8,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PT,,
CHIAPAS,9,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIAPAS-9,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
CHIAPAS,10,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CHIAPAS-10,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CHIAPAS,11,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CHIAPAS-11,PRD,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CHIAPAS,12,MORENA,votes_valid,,PRD,,,MORENA,MORENA,CHIAPAS-12,PRD,siglado_ppn,MORENA,MORENA,PRD,,
CHIAPAS,13,MORENA,votes_valid,,PVEM,,,MORENA,MORENA,CHIAPAS-13,PRI,siglado_ppn_mismatch_fallback_votes,MORENA,MORENA,PVEM,,
CHIHUAHUA,1,MORENA,afiliacion_override,,MORENA,MORENA,MORENA,MORENA,MORENA,CHIHUAHUA-1,MORENA,siglado_ppn,MORENA,MORENA,MORENA,MORENA,
