ENTIDAD,DF_2021,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,swing_VA_X_MEX_PAN_PRI_PRD,swing_JUNTOS_PT_MORENA
15,28,-84.07320166696866,-23.56620834881705,-78.36272937822912,,,,,-57.73958659567804,
15,29,28.01618570972208,41.85150897981856,-18.963772515685086,,,,,26.057738018064747,
15,30,-8.233604595500239,-33.56670109797621,-27.45299145299145,,,,,-31.48313433589869,
15,31,44.537090281771135,72.7527843549943,3.666708812744974,,,,,53.0381460539938,
15,32,-20.548961424332344,53.98264726988062,-62.733725410667205,,,,,-18.2224947760516,
15,33,-50.78425976884975,-25.43473828318429,-40.0902837489252,,,,,-30.89230503124257,
15,34,-20.490822609355394,23.78084483479716,-11.114485271788642,,,,,7.013776878268274,
15,35,2.1747376406625363,11.849142130062228,-52.19143576826196,,,,,3.005381870956048,
15,36,-24.21731123388582,-14.670087770954265,-48.94011494963229,,,,,-21.329810746630752,
15,37,-11.852270586018468,8.035095820826598,-9.914712153518124,,,,,-0.6604242167810304,
15,38,-43.44891952042501,11.95946130521485,-45.71428571428572,,,,,-7.133468968869849,
15,39,-27.181544633901705,-23.04706266694852,-16.85641998734978,,,,,-23.064269573308515,
15,40,-37.011368472247554,23.563981732501222,-33.10052382140184,,,,,7.34032538219811,
20,1,-67.66881972988843,-27.58940332731619,-60.75676900419168,-37.695183637563225,-13.528876762164622,-70.27395703080596,-22.020606879125182,-38.4582419089413,-21.632436702282465
20,2,-68.8846107568283,-25.15027441414757,-30.304449648711945,-82.06404888536834,-51.52505446623093,-22.714420358152687,-25.72235586669189,-31.642423566523814,-28.82081529753128
20,3,-37.9168042258171,-12.391196928807632,-42.64897781644193,-77.76739217519028,-60.0,21.08039670816628,-36.769270388592965,-22.81337889036097,-40.23000438323297
20,4,-46.35454767129968,-29.75885274795706,-15.994387934058224,-67.29383017715332,-42.91103017689906,-12.238805970149254,-18.199549887471868,-32.44856595496572,-22.831785043766605
20,5,-42.360475754803296,-44.44444444444444,-59.292798620094864,-29.950186799501864,-55.475477349307376,-31.16415958142577,-36.70888847530736,-45.27619564234698,-38.67407646995403
20,6,-58.40480274442539,-27.51926496739775,-46.09845947756195,-76.65533430467865,-72.79791338368744,-31.52724968314322,-31.18020984912308,-34.29626873604762,-40.33194723257815
20,7,-71.19113573407202,-54.60725427201192,-92.98950251026928,-59.89907984565153,-72.33051088253679,-57.50060197447628,-25.57519287562097,-63.257099773812506,-33.41399975228423
20,8,-31.275988585405628,-8.90294535625714,-47.17455002092926,-62.748517614230906,-41.38860103626943,63.706746721440986,-24.05738629577035,-16.141350586652425,-26.0250120589654
20,9,-61.75560007284647,-45.29822261633959,-46.53333333333333,-72.17545414266726,-46.33555420956996,-53.97708674304419,-29.003447423160285,-46.79753604548839,-30.86153606399834
20,10,-52.40658644711843,-38.6112688497697,-71.95296361036073,-76.59040378684645,-44.82067510548523,-36.040470330872296,-41.05364094343943,-46.562912552760274,-41.5036798064321
23,1,-60.296554731792405,-86.12562863622917,-80.71144498453381,153.34795321637426,-63.24558480506498,39.46525776496958,-54.13295302404097,-70.70587639139909,-54.86495891217644
23,2,2.2483042451032698,-82.99295354114416,51.72467371037912,676.7583212735167,-31.16613808245914,201.2678885262365,-21.533111750411976,-38.55089981197959,-22.522680567390108
23,3,55.3345584261161,-26.184926184926184,-37.7053906024791,266.03015075376885,16.48745519713262,545.7123565158677,-8.436053026619025,13.784419073203493,-7.312887399301415
23,4,-62.299608373482094,-73.27935222672065,-68.96922745857542,62.76856524873829,-49.9690594059406,122.18992248062015,-50.77524062663606,-65.32367675041746,-50.72598026241162
28,1,-26.45838214130325,-44.68615649183147,-24.29319371727749,,,73.58432812978268,,-29.36013159531675,
28,2,1.818729298404095,-68.0993080993081,-0.6018916595012898,,,62.5531914893617,,-11.80310766166638,
28,3,13.994584016920006,-46.295507266960186,40.20779220779221,,,25.94692089667611,,-2.614103939488588,
28,4,3.5425346055637688,-49.24640135478408,-5.8171745152354575,,,76.70273711012095,,-9.104155854525132,
28,5,9.2724925812075,-63.61311567294893,139.2548236859614,,,-57.001462152738725,,-8.648617818167992,
28,6,35.49630318022167,-75.83379706918939,53.755431409062695,,,-39.27300850734726,,6.288764166429117,
28,7,-32.15506782838866,-45.08537810302769,-60.35543403964456,,,-20.767853590610702,,-34.83988366486772,
28,8,30.66559319688526,29.37447168216399,40.92940125111707,,,31.565527791942888,,30.72858080239971,
