NOMBRE_ESTADO,ENTIDAD,DF_2021,AÑO_ELECCION,swing_PAN,swing_PRI,swing_PRD,swing_PVEM,swing_PT,swing_MC,swing_MORENA,PAN_local,PRI_local,PRD_local,PVEM_local,PT_local,MC_local,MORENA_local,PAN_fed_2021,PRI_fed_2021,PRD_fed_2021,PVEM_fed_2021,PT_fed_2021,MC_fed_2021,MORENA_fed_2021
México,15,6,2023,-11.02648630214846,17.309992706053976,-36.2974319662706,-100.0,-100.0,-100.0,-100.0,15654,40208,4986,0.0,0.0,0.0,0.0,17594.0,34275.0,7827.0,8464.0,2090.0,7067.0,57975.0
México,15,7,2023,-28.430630857815327,17.320925355527887,-9.798372833392289,-100.0,-100.0,-100.0,-100.0,34057,35804,2550,0.0,0.0,0.0,0.0,47586.0,30518.0,2827.0,9033.0,2783.0,6643.0,64265.0
México,15,8,2023,21.615706871756394,5.254560304927852,-7.158351409978309,-100.0,-100.0,-100.0,-100.0,19450,34794,2568,0.0,0.0,0.0,0.0,15993.0,33057.0,2766.0,6327.0,2170.0,3542.0,54810.0
México,15,9,2023,-21.918941273779982,-18.0672323169708,-33.07275473038998,-100.0,-100.0,-100.0,-100.0,6608,63443,7534,0.0,0.0,0.0,0.0,8463.0,77433.0,11257.0,12617.0,2814.0,14915.0,43688.0
México,15,10,2023,-11.061695685087056,-0.4818055027260048,-68.99261728983092,-100.0,-100.0,-100.0,-100.0,9399,31396,2604,0.0,0.0,0.0,0.0,10568.0,31548.0,8398.0,3037.0,1635.0,3102.0,56439.0
México,15,11,2023,-24.796388101983002,-4.221991701244813,-52.91686536321729,-100.0,-100.0,-100.0,-100.0,8495,36932,2962,0.0,0.0,0.0,0.0,11296.0,38560.0,6291.0,4494.0,1898.0,3472.0,57216.0
México,15,12,2023,-12.379227053140095,-45.97734148980809,-4.328358208955224,-100.0,-100.0,-100.0,-100.0,5804,24462,1923,0.0,0.0,0.0,0.0,6624.0,45281.0,2010.0,3993.0,1968.0,4285.0,56005.0
México,15,13,2023,10.588862649501028,28.29592593610066,-31.388585968738642,-100.0,-100.0,-100.0,-100.0,14517,46701,3775,0.0,0.0,0.0,0.0,13127.0,36401.0,5502.0,3998.0,1795.0,3776.0,59877.0
México,15,14,2023,-81.90080302314597,28.79369832693184,-35.49426934097421,-100.0,-100.0,-100.0,-100.0,9579,39568,1801,0.0,0.0,0.0,0.0,52925.0,30722.0,2792.0,5776.0,2447.0,5492.0,55592.0
México,15,15,2023,-23.207430132944392,15.09962127449366,-1.1205564142194746,-100.0,-100.0,-100.0,-100.0,45806,27960,2559,0.0,0.0,0.0,0.0,59649.0,24292.0,2588.0,5661.0,2509.0,4850.0,52209.0
