ESTADO,DF,PARTIDO,SWING,VOTOS_LOCAL,VOTOS_FED,RAZON,ACCION
México,36,MC,-100.0,0.0,4114.0,Datos faltantes,EXCLUIR - Sin datos locales
México,36,MORENA,-100.0,0.0,67698.0,Datos faltantes,EXCLUIR - Sin datos locales
México,37,PVEM,-100.0,0.0,11267.0,Datos faltantes,EXCLUIR - Sin datos locales
México,37,PT,-100.0,0.0,2683.0,Datos faltantes,EXCLUIR - Sin datos locales
México,37,MC,-100.0,0.0,14279.0,Datos faltantes,EXCLUIR - Sin datos locales
México,37,MORENA,-100.0,0.0,63953.0,Datos faltantes,EXCLUIR - Sin datos locales
México,38,PVEM,-100.0,0.0,20549.0,Datos faltantes,EXCLUIR - Sin datos locales
México,38,PT,-100.0,0.0,1797.0,Datos faltantes,EXCLUIR - Sin datos locales
México,38,MC,-100.0,0.0,3606.0,Datos faltantes,EXCLUIR - Sin datos locales
México,38,MORENA,-100.0,0.0,64680.0,Datos faltantes,EXCLUIR - Sin datos locales
México,39,PVEM,-100.0,0.0,4347.0,Datos faltantes,EXCLUIR - Sin datos locales
México,39,PT,-100.0,0.0,2982.0,Datos faltantes,EXCLUIR - Sin datos locales
México,39,MC,-100.0,0.0,3158.0,Datos faltantes,EXCLUIR - Sin datos locales
México,39,MORENA,-100.0,0.0,45614.0,Datos faltantes,EXCLUIR - Sin datos locales
México,40,PVEM,-100.0,0.0,22687.0,Datos faltantes,EXCLUIR - Sin datos locales
México,40,PT,-100.0,0.0,5845.0,Datos faltantes,EXCLUIR - Sin datos locales
México,40,MC,-100.0,0.0,6811.0,Datos faltantes,EXCLUIR - Sin datos locales
México,40,MORENA,-100.0,0.0,54082.0,Datos faltantes,EXCLUIR - Sin datos locales
Quintana Roo,2,PVEM,676.7583212735167,26837.0,3455.0,Swing muy alto: 676.8%,VERIFICAR - Cambio significativo
Quintana Roo,3,MC,545.7123565158677,19126.0,2962.0,Swing muy alto: 545.7%,VERIFICAR - Cambio significativo
Tamaulipas,1,PVEM,-100.0,0.0,3003.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,1,PT,-100.0,0.0,2290.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,1,MORENA,-100.0,0.0,61129.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,2,PVEM,-100.0,0.0,4810.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,2,PT,-100.0,0.0,4300.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,2,MORENA,-100.0,0.0,47645.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,3,PVEM,-100.0,0.0,4026.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,3,PT,-100.0,0.0,6241.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,3,MORENA,-100.0,0.0,58684.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,4,PVEM,-100.0,0.0,2571.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,4,PT,-100.0,0.0,2932.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,4,MORENA,-100.0,0.0,80911.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,5,PVEM,-100.0,0.0,3486.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,5,PT,-100.0,0.0,3976.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,5,MORENA,-100.0,0.0,56331.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,6,PVEM,-100.0,0.0,7381.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,6,PT,-100.0,0.0,6940.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,6,MORENA,-100.0,0.0,60542.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,7,PVEM,-100.0,0.0,2194.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,7,PT,-100.0,0.0,3726.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,7,MORENA,-100.0,0.0,76198.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,8,PVEM,-100.0,0.0,2133.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,8,PT,-100.0,0.0,3166.0,Datos faltantes,EXCLUIR - Sin datos locales
Tamaulipas,8,MORENA,-100.0,0.0,71258.0,Datos faltantes,EXCLUIR - Sin datos locales
