CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CXQROO,FXMQROO,PAN_PRD_CXQROO,PAN_PRD,PAN_CXQROO,PRD_CXQROO,PVEM_PT_MORENA_FXMQROO,PVEM_PT_MORENA,PVEM_PT_FXMQROO,PVEM_MORENA_FXMQROO,PT_MORENA_FXMQROO,PVEM_PT,PVEM_MORENA,PVEM_FXMQROO,PT_MORENA,PT_FXMQROO,MORENA_FXMQROO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,557,1,22,3,21,70,4,38,101,5,2,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,272,0,9,281,598
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,558,2,19,10,8,46,7,82,87,22,0,4,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,290,0,19,309,918
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,572,1,14,0,5,111,4,31,75,10,1,1,0,0,0,0,0,0,0,0,0,6,1,0,6,1,1,267,0,13,280,625
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,573,2,29,5,12,79,9,66,117,18,5,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,346,0,13,359,793
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,574,1,26,11,6,54,5,40,78,10,3,7,1,0,0,0,2,0,0,0,0,0,4,0,2,0,0,249,0,12,261,489
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,575,2,33,12,7,51,5,60,134,17,4,3,1,2,0,0,0,1,0,0,1,0,1,0,2,0,2,336,0,10,346,826
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,576,1,28,4,3,115,3,37,82,6,4,2,0,0,0,0,1,0,1,0,0,1,3,0,0,0,0,290,0,15,305,649
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,577,1,12,16,1,118,4,36,63,5,3,2,1,2,0,0,0,1,0,0,0,0,6,1,0,0,0,271,0,13,284,634
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,857,2,46,18,11,59,9,84,179,11,4,4,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,431,0,17,448,1208
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,859,1,29,10,9,20,4,38,83,6,3,0,0,0,0,0,2,2,0,0,0,0,1,0,1,0,0,208,0,10,218,689
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,860,2,30,7,6,54,2,63,159,12,4,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,10,352,961
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,861,2,39,16,5,63,5,53,154,23,2,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,367,0,18,385,932
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,862,2,56,9,5,61,14,76,159,21,3,6,3,2,0,0,2,0,0,0,0,0,2,0,3,1,1,424,2,11,437,1303
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,863,2,40,5,8,94,13,62,182,33,1,3,8,2,0,0,2,1,0,1,0,0,5,0,0,1,1,462,1,26,489,1302
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,864,1,24,4,3,30,4,50,99,7,4,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,234,0,6,240,598
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,865,1,24,5,1,46,5,39,70,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,199,2,3,204,588
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,866,2,41,1,16,80,10,61,180,13,4,7,3,1,0,0,0,0,0,0,0,1,5,0,2,0,0,425,0,20,445,1177
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,867,2,43,13,9,62,6,55,158,17,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,373,1,14,388,976
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,868,2,36,11,18,67,7,37,132,9,3,4,0,1,1,0,0,0,0,0,1,0,4,0,1,0,0,332,0,10,342,754
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,869,1,26,3,6,58,2,33,105,17,1,2,1,2,0,0,1,1,0,0,0,0,3,0,0,0,0,261,0,8,269,644
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,870,1,30,3,3,46,2,37,71,18,1,2,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,219,0,10,229,501
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,871,1,9,6,3,45,3,18,102,10,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,201,0,11,212,435
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,872,2,24,7,12,69,11,59,137,12,3,4,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,344,0,20,364,771
,23,QUINTANA ROO,6,CANCUN,1,BENITO JUAREZ,873,1,28,12,8,74,5,29,59,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,224,0,11,235,504
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,151,7,359,67,26,389,32,271,580,45,8,19,3,4,0,0,4,3,0,0,0,1,4,0,8,0,0,1823,3,55,1881,4955
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,152,3,47,8,10,260,14,114,215,19,2,2,0,0,0,0,1,0,0,0,0,1,4,0,1,0,3,701,0,29,730,1526
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,153,2,37,10,9,315,11,70,145,16,5,1,2,1,2,0,3,1,0,1,0,0,6,1,2,0,0,638,0,36,674,1353
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,155,2,27,10,8,229,8,50,132,25,4,16,1,5,0,1,0,0,0,0,0,0,6,0,0,0,0,522,1,24,547,1182
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,164,7,299,66,35,429,37,300,718,60,23,17,3,2,0,0,2,2,0,0,1,1,4,1,2,0,0,2002,5,67,2074,5139
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,165,2,43,10,15,158,9,43,124,13,3,2,2,1,0,1,0,0,0,0,0,1,3,0,0,0,0,428,0,21,449,1066
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,166,5,162,33,36,447,15,202,407,30,8,14,2,10,0,0,0,0,0,2,0,0,9,1,3,1,0,1382,0,92,1474,3542
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,168,16,998,225,57,636,75,703,1275,147,31,40,13,5,1,1,8,3,0,1,1,2,10,1,8,0,0,4241,3,166,4410,11565
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,585,2,29,8,8,257,8,65,151,13,2,10,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,555,0,24,579,1360
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,586,1,9,5,1,45,1,21,36,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,125,254
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,587,1,5,4,0,72,3,16,38,5,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,149,0,7,156,277
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,588,1,9,1,1,62,1,16,26,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,121,249
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,589,1,8,2,4,44,3,46,63,4,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,180,0,6,186,448
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,590,1,5,3,0,112,3,10,39,1,1,0,0,0,0,0,2,0,0,1,0,0,4,0,2,0,0,183,0,0,183,361
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,591,12,183,69,57,1023,33,308,703,122,15,32,18,8,0,2,0,7,0,2,1,2,10,2,3,3,15,2618,2,111,2731,8867
,23,QUINTANA ROO,7,CANCUN,1,BENITO JUAREZ,592,2,51,4,7,177,11,57,169,16,3,1,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,502,1,20,523,1491
