CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MORENA_PT_PVEM,MC,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1520,2,227,49,21,350,26,3,10,4,0,690,0,17,707,1369
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1521,3,346,64,21,315,33,10,5,2,1,797,0,20,817,1612
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1522,2,232,71,20,354,23,13,3,2,0,718,1,18,737,1481
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1523,2,232,63,24,302,16,5,2,0,0,644,0,11,655,1234
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1524,2,172,40,10,182,14,8,4,0,0,430,2,8,440,857
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1525,2,337,71,26,434,23,6,2,4,1,904,3,23,930,585
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1526,1,118,34,7,146,13,4,1,3,0,326,0,9,335,601
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1527,2,188,51,15,311,17,9,2,0,0,593,0,11,604,1135
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1528,2,234,63,12,332,22,7,7,1,0,678,0,18,696,1445
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1529,3,225,87,28,376,35,3,5,1,1,761,0,15,776,1518
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1530,3,264,73,29,421,26,10,3,1,2,829,0,18,847,1655
,28,TAMAULIPAS,9,VALLE HERMOSO,40,VALLE HERMOSO,1531,2,151,40,13,261,17,10,3,1,1,497,0,17,514,996
