CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM_PT_MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4788,7,156,392,66,961,24,19,6,4,2,0,12,2,1,4,0,1,1650,8,58,1716,4653
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4789,2,49,151,12,284,3,4,2,1,0,0,3,0,1,0,0,0,510,0,17,527,1281
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4790,2,81,220,9,290,8,6,2,4,1,1,4,0,1,1,0,0,628,0,11,639,1466
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4791,4,106,283,15,649,21,8,3,1,2,1,9,0,1,0,0,0,1099,1,26,1126,2821
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4792,3,59,188,19,406,7,2,3,0,1,0,2,0,0,0,0,0,687,0,31,718,2055
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4793,3,75,116,10,372,10,0,6,1,2,1,5,1,0,1,0,0,600,0,18,618,1530
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4794,2,42,138,6,289,1,4,2,2,0,1,1,0,0,2,0,0,488,2,11,501,1319
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4795,2,54,187,22,317,8,7,2,0,1,0,3,0,0,1,1,0,603,0,20,623,1366
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4796,2,59,140,6,298,5,11,2,0,2,1,4,0,0,1,0,1,530,2,12,544,1403
,15,MEXICO,37,TLALNEPANTLA DE BAZ,105,TLALNEPANTLA DE BAZ,4797,5,131,202,24,662,11,25,3,0,2,0,11,1,0,0,0,0,1072,3,43,1118,3202
